"country","region","city_state","codes_list"
"Poland","Warmia-Masuria, Powiat Olsztynski","Marcinkowo","[""10-687"",""11-030""]"
"Russian Federation","Moskva","Moskva-Gtsmpp 463","[""102463""]"
"Mexico","Chiapas","Los Llanos","[""30839""]"
"Vietnam","Bac Trung Bo, Nghe An, Anh Son","Tuong Son","[""460000""]"
"Slovakia","Presovsky Kraj","Batizovce","[""059 35""]"
"United States","Wyoming, Big Horn","Deaver","[""82421""]"
"Mexico","San Luis Potosi","Julian Carrillo","[""78340"",""78450""]"
"Japan","Yamaguchi Ken, Kudamatsu Shi","Showamachi","[""744-0062""]"
"India","Uttar Pradesh, Jyotiba Phule Nagar, Dhanaura","Chuchelakalan","[""244231""]"
"United Kingdom","England, Somerset","Marston Magna","[""BA22""]"
"Japan","Ibaraki Ken, Sashima Gun","Shinkoya","[""306-0312""]"
"Mexico","Guanajuato","La Luz De Pena","[""38563""]"
"France","Bourgogne-Franche-Comte, Haute-Saone","Les Fessey","[""70310""]"
"Japan","Aichi Ken, Nagakute Shi","Jimmommae","[""480-1332""]"
"Mexico","Sonora","Nuevo Sahuaripa","[""85600""]"
"Poland","Mazovia, Powiat Lipski","Przedmiescie Blizsze","[""27-320""]"
"Nigeria","Niger, Katcha","Egb Nagya","[""912105""]"
"Mexico","Tamaulipas","Chairel Secc 33","[""89219""]"
"Germany","Nordrhein-Westfalen","Langenfeld","[""40764""]"
"Vietnam","Dong Bang Song Hong, Ha Nam, Ly Nhan","Dong Ly","[""400000""]"
"Spain","Pais Vasco, Alava","Erribera Beitia","[""01213""]"
"United States","Illinois, Peoria","Dunlap","[""61525""]"
"China","Anhui, Guoyang County","Biaoli Township","[""233656""]"
"Belarus","Brest Province, Pruzhany District, Shereshevskiy Council","Belyy-Lesok","[""225176""]"
"United Kingdom","Scotland, Highland","Stoul","[""PH41""]"
"United Kingdom","Scotland, Western Isles","Lochboisdale","[""HS8""]"
"United Kingdom","Wales, Carmarthenshire","Llansadurnen","[""SA33""]"
"United Kingdom","Scotland, Dumfries And Galloway","Parton","[""DG7""]"
"United Kingdom","Scotland, Highland","Kerrysdale","[""IV21""]"
"United Kingdom","Wales, Ceredigion","Ystrad Aeron","[""SA48""]"
"Mexico","Distrito Federal","Barrio Candelaria Ticoman","[""07310""]"
"Mexico","Distrito Federal","Ex-Hipodromo De Peralvillo","[""06250""]"
"Mexico","Distrito Federal","Golondrinas 1A Seccion","[""01270""]"
"Japan","Akita Ken, Daisen Shi","Nangai Shirigaida","[""019-1848""]"
"Chile","Araucania, Cautin, Carahue","Los Atracones","[""5010000""]"
"Japan","Hyogo Ken, Tatsuno Shi","Shingucho Kamiazawara","[""679-5162""]"
"Austria","Oberosterreich, Politischer Bezirk Scharding, Sankt Florian Am Inn","Bubing","[""4782""]"
"India","Rajasthan, Bharatpur","Khandeola","[""321204""]"
"Mexico","Sonora","Graciano Sanchez","[""85235""]"
"United States","South Carolina, Abbeville","Due West","[""29639""]"
"Nigeria","Cross River, Bakassi, Atimbo","Asibang","[""541104""]"
"Poland","Podlasie, Powiat Zambrowski","Goski Duze","[""18-300""]"
"China","Hebei, Longyao County","Dongliang Township","[""055352""]"
"Belarus","Vitebsk Province, Talachyn District, Oboleckiy Council","Lemnica","[""211064""]"
"Belarus","Vitebsk Province, Talachyn District, Volkovichskiy Council","Bagrinovo","[""211074""]"
"United Kingdom","England, North Yorkshire","Seave Green","[""TS9""]"
"France","Grand Est, Meurthe-Et-Moselle","Autrepierre","[""54450""]"
"Japan","Aichi Ken, Toyota Shi","Obazawacho","[""444-2844""]"
"Czech Republic","Jihocesky Kraj","Racov","[""384 73""]"
"India","Odisha, Kendujhar, Ghatagaon","Kansa","[""758082""]"
"Russian Federation","Tulskaya Oblast","Tula 19","[""300019""]"
"Mexico","Tamaulipas","Residencial Real Campestre","[""89605""]"
"Nigeria","Kaduna, Sanga, Hatteh","Sarki Amukunche","[""801123""]"
"France","Occitanie, Tarn","Escroux","[""81530""]"
"Poland","Greater Poland, Powiat Slupecki","Slowikowo","[""62-436""]"
"Poland","Lesser Poland, Powiat Miechowski","Karczowice","[""32-241""]"
"Russian Federation","Permskiy Kray","Tokari","[""617148""]"
"Colombia","Valle Del Cauca, La Union","Campesina","[""761540""]"
"India","Haryana, Jind","Igrah","[""126102""]"
"Poland","Silesia, Powiat Raciborski","Ruda","[""47-420""]"
"Spain","Asturias","Francos","[""33735"",""33874""]"
"Algeria","Ain-Temouchent","M'sella Djurdjura","[""46042""]"
"Poland","Greater Poland, Powiat Zlotowski","Bielawa","[""77-400""]"
"Czech Republic","Ustecky Kraj","Jindrisska","[""431 11""]"
"Mexico","Mexico","Martell","[""55020""]"
"Italy","Lombardia, Sondrio","Montagna In Valtellina","[""23020""]"
"Estonia","Saaremaa, Kaarma","Tolli","[""93841""]"
"United States","Texas, Concho","Eden","[""76837""]"
"Afghanistan","Badghis, Ghormach","Shar Shar Zarif Shah","[""3353""]"
"Spain","Andalucia, Malaga","Carratraca","[""29551""]"
"Ukraine","Cherkasy Oblast, Horodyshchenskyi","Zelena Dibrova","[""19526""]"
"Mexico","Oaxaca","El Violin","[""71175""]"
"Germany","Thuringen","Brunnhartshausen","[""36452""]"
"Ukraine","Ivano-Frankivsk Oblast, Horodenkivskyi","Kolinky","[""78132""]"
"Japan","Saitama Ken, Kawaguchi Shi","Minamihatogaya","[""334-0013"",""334-8501""]"
"Poland","Lower Silesia, Trzebnica County","Mienice","[""55-114""]"
"Peru","Pasco, Vicco","Palgan Chueco","[""19410""]"
"Denmark","North Denmark, Jammerbugt Kommune","Saltum","[""9493""]"
"Australia","Queensland","Kureelpa","[""4560""]"
"Argentina","Cordoba","La Cruz","[""5249"",""5859""]"
"Poland","Lodz Voivodeship, Powiat Lowicki","Piaski Bankowe","[""99-423""]"
"Mexico","Sonora","Cafe Arely","[""83310""]"
"Austria","Oberosterreich, Politischer Bezirk Eferding, Hinzenbach","Unterleiten","[""4070""]"
"Mexico","Zacatecas","Cerro La Arena","[""99960""]"
"United Kingdom","England, Suffolk","Blythburgh","[""IP19""]"
"Mexico","Guanajuato","Lomas De Xido","[""37897""]"
"France","Grand Est, Marne","Crugny","[""51170""]"
"Austria","Oberosterreich, Politischer Bezirk Freistadt, Windhaag Bei Freistadt","Pieberschlag","[""4263""]"
"Spain","Castilla - Leon, Leon","Valderas","[""24220""]"
"Japan","Hokkaido, Obihiro Shi","Minamimachi","[""080-0857""]"
"Belgium","Wallonie, Luxembourg","Signeulx","[""6750""]"
"United States","Oregon, Union","Elgin","[""97827""]"
"United Kingdom","Scotland, Highland","Muir Of Ord","[""IV6""]"
"United Kingdom","Scotland, Perth And Kinross","Balvarran","[""PH10""]"
"Poland","Mazovia, Powiat Kozienicki","Grabnowola","[""26-903""]"
"Spain","Galicia, Pontevedra","Quireza","[""36116""]"
"Poland","Warmia-Masuria, Powiat Ilawski","Nowy Folwark","[""14-220""]"
"Poland","Mazovia, Powiat Plocki","Miszewko Strzalkowskie","[""09-472""]"
"Ukraine","Kharkiv Oblast, Vovchanskyi","Moskalivka","[""62532""]"
"Poland","Silesia, Powiat Lubliniecki","Brasowe","[""42-284""]"
"Ukraine","Zaporizhia Oblast, Vasylivskyi","Luhove","[""71620""]"
"Switzerland","Ticino, Blenio District, Acquarossa","Prugiasco","[""6723""]"
"Colombia","Cesar, Valledupar","Ciudad Tayrona Iii","[""200005""]"
"Russian Federation","Kostromskaya Oblast","Nikulino","[""157474""]"
"Turkey","Adana, Kozan","Duzagac","[""01500""]"
"Japan","Chiba Ken, Minamiboso Shi","Ishido","[""299-2503""]"
"Nigeria","Ogun, Obafemi Owode, Ajuru","Awo Lufoko","[""110114""]"
"Germany","Sachsen-Anhalt","Leislau","[""06618""]"
"Mauritius","Riviere Du Rempart","Grand GaubeQuartier Des Lauriers","[""30623""]"
"India","Karnataka, Shivamogga, Tirthahalli","Arga","[""577414""]"
"Nigeria","Ondo, Ile Oluji-Okeigbo, Tenidire","Ajana","[""351111""]"
"United Kingdom","England, West Sussex","Codmore Hill","[""RH20""]"
"Japan","Kyoto Fu, Funai Gun","Hosotani","[""629-1106""]"
"Japan","Wakayama Ken, Kainan Shi","Okada","[""642-0012""]"
"Poland","Warmia-Masuria, Powiat Goldapski","Jagiele","[""19-520""]"
"Japan","Shizuoka Ken, Fujinomiya Shi","Shimojo","[""418-0114""]"
"Poland","Silesia, Powiat Czestochowski","Sokole Pole","[""42-253""]"
"Latvia","Daugavpils Novads, Naujenes Pagasts","Buksti","[""LV""]"
"Japan","Chiba Ken, Isumi Gun","Yakoe","[""298-0222""]"
"Belarus","Mogilev Province, Asipovichy District, Lapichskiy Council","Ruchey","[""213728""]"
"Lithuania","Utena County","Moletai","[""33001""]"
"Argentina","Jujuy","Barrios","[""4650""]"
"Colombia","Cundinamarca, Choachi","La Palma","[""251627""]"
"Tunisia","Siliana, Bargou","Cite Air Nouvelle","[""6170""]"
"Spain","Galicia, A Coruna","Cullergondo","[""15318""]"
"Spain","Asturias","Lourido","[""33774"",""33775""]"
"Maldives","Male, Sabudheli Magu","Zenthrum","[""20327""]"
"India","Telangana, Khammam","Trunk Road","[""507003""]"
"Colombia","Valle Del Cauca, Cartago","Buenos Aires","[""762022""]"
"Algeria","Tiaret","Tiaret Bouhenni","[""14031""]"
"Bangladesh","Dhaka Division","Pangsha","[""7720""]"
"Lithuania","Vilniaus Apskritis","Pazemio K.","[""18025""]"
"Spain","Castilla - Leon, Avila","San Bartolome De Tormes","[""05631""]"
"Belarus","Grodno/hrodna Province, Shchuchyn District, Golovichpolskiy Council","Rusanovcy","[""231524""]"
"Switzerland","Neuchatel, Le Locle District, La Brevine","La Brevine","[""2406""]"
"Russian Federation","Moskovskaya Oblast","Ogudnevo","[""141135""]"
"China","Jiangsu, Gaoyou City","Pingsheng Township","[""225635""]"
"Israel","Hazafon, Kinneret","M.a Galil Tahton","[""1524800""]"
"Spain","Castilla - Leon, Palencia","Terradillos De Templarios","[""34349""]"
