"country","region","city_state","codes_list"
"Spain","Galicia, Pontevedra","Baina","[""36308""]"
"Belarus","Vitebsk Province, Miory District, Turkovskiy Council","Gorovcy","[""211946""]"
"Peru","Ayacucho, Victor Fajardo, Huancapi","Ankukichca Pucro","[""05415""]"
"Venezuela","Aragua","Villa De Cura","[""2126""]"
"Mexico","Guanajuato","Proveedora","[""38255""]"
"India","Madhya Pradesh, Sheopur","Gurunaawda","[""476337""]"
"Mexico","Queretaro","El Plan","[""76464"",""76546""]"
"Serbia","Centralna Srbija, Sumadija, Arandelovac","Gornja Tresnjevica","[""34314""]"
"India","Uttar Pradesh, Jaunpur","Bhakura","[""222003""]"
"Romania","Cluj","Macau","[""407013""]"
"Nigeria","Niger, Katcha","Gbaguda","[""912105""]"
"United States","Alabama, Pike","Brundidge","[""36010""]"
"Brazil","Goias","Ceres","[""76300-000""]"
"Peru","Ayacucho, Huamanga, Ayacucho","Huatatas","[""05002""]"
"United States","South Dakota, Marshall","Lake City","[""57247""]"
"Afghanistan","Ghor, Pasaband","Dastasak","[""3253""]"
"Colombia","Cauca, Paez","El Jardin","[""192509""]"
"Switzerland","Kanton Thurgau, Weinfelden District, Bischofszell","Schweizersholz","[""9223""]"
"Australia","Queensland","Shaw","[""4818""]"
"Poland","Lodz Voivodeship, Powiat Opoczynski","Ogonowice","[""26-300""]"
"India","Bihar, Rohtas","Chunhatta","[""821304""]"
"France","Normandie, Manche","Sainte-Pience","[""50870""]"
"Algeria","Souk-Ahras","Tabaga","[""41038""]"
"Russian Federation","Orenburgskaya Oblast","Ponikla","[""461616""]"
"Algeria","Bordj-Bou-Arreridj","Khebatna","[""34021""]"
"Argentina","San Luis","Los Carricitos","[""5701""]"
"India","Chattisgarh, Janjgir-Champa, Janjgir","Naila R.s.","[""495668""]"
"Italy","Lazio, Latina","Lenola","[""04025""]"
"France","Pays De La Loire, Sarthe","Juille","[""72170""]"
"Chile","Libertador General Bernardo O'higgins, Cachapoal, Quinta De Tilcoco","Puente Alta","[""2960000""]"
"Kazakhstan","Karagandy, Shakhtinsky Region","Shakhtinsk No.15 Pri Nk","[""720660""]"
"Turkey","Izmir, Tire","Topalak","[""35900""]"
"Algeria","Naama","Sidi Brahim","[""45014""]"
"Peru","Lambayeque","Punto Nueve El Arbusto","[""14000""]"
"Colombia","Antioquia, Andes","San Francisco","[""056060""]"
"Cambodia","Kampong Cham, Stueng Trang, Tuol Preah Khleang","Voat","[""03408""]"
"Italy","Emilia-Romagna, Modena","Romanoro","[""41044""]"
"Italy","Abruzzi, Pescara","Vestea","[""65010""]"
"Nigeria","Zamfara, Anka, Jakusko","Jakusko","[""631102""]"
"Austria","Niederosterreich, Politischer Bezirk Scheibbs, Gaming","Brettl-Gaming","[""3264""]"
"United States","Pennsylvania, Indiana","Cherry Tree","[""15724""]"
"Mexico","Mexico","Suquitila","[""51415""]"
"Turkey","Bursa, Inegol","Hayriye","[""16400""]"
"Belgium","Wallonie, Brabant Wallon","Opprebais","[""1315""]"
"Japan","Fukui Ken, Echizen Shi","Oshiocho","[""915-0863""]"
"Ukraine","Odessa Oblast, Ivanivskyi","Prokhorove","[""67200""]"
"Ukraine","Kherson Oblast, Beryslavskyi","Inhulivka","[""74320""]"
"Afghanistan","Ghor, Chaghcharan","Rodak Kalan Ya Bala","[""3201""]"
"Japan","Mie Ken, Tsu Shi","Shinhigashimachi Tose","[""514-0026""]"
"Belarus","Grodno/hrodna Province, Voranava District, Girkovskiy Council","Korgovdy","[""231395""]"
"Nigeria","Kaduna, Jaba, Kwoi","Dura","[""801109""]"
"Mexico","Jalisco","Los Popotes","[""47620""]"
"India","Maharashtra, Nashik","Umrala","[""422003""]"
"Japan","Yamagata Ken, Tsuruoka Shi","Haguromachi Sakanoshita","[""997-0104""]"
"Lithuania","Vilniaus Apskritis","Sakaliskes L K.","[""18033""]"
"Poland","Podlasie, Powiat Bielski","Skrzypki Male","[""17-100""]"
"India","Rajasthan, Jhujhunu, Jhunjhunun","Hamiri","[""333001""]"
"Colombia","Valle Del Cauca, Cartago","Urbanizacion El Roble","[""762021""]"
"United Kingdom","England, Devon","Upton Hellions","[""EX17""]"
"Japan","Hiroshima Ken, Higashihiroshima Shi","Saijocho Saijo","[""739-0001""]"
"Hungary","Borsod-Abauj-Zemplen","Lak","[""3786""]"
"Italy","Piemonte, Cuneo","Cissone","[""12050""]"
"Ukraine","Vinnytsia Oblast, Zhmerynskyi","Stanislavchyk","[""23160""]"
"India","Karnataka, Uttara Kannada, Karwar","Chendiye","[""581324""]"
"Nigeria","Niger, Magama, Auna","Madugu","[""923106""]"
"Japan","Niigata Ken, Niigata Shi","Toishi","[""950-1425""]"
"Russian Federation","Novosibirskaya Oblast","Sovetskiy","[""632753""]"
"Estonia","Saaremaa, Kihelkonna","Kiirassaare","[""93433""]"
"Afghanistan","Zabul, Shah Joy","Sayghan Khidr","[""4056""]"
"Russian Federation","Astrahanskaya Oblast","Rechnoe","[""416026""]"
"India","Rajasthan, Udaipur, Girwa","Udaipur H.o","[""313004""]"
"Spain","Galicia, Ourense","Buzacos","[""32828""]"
"Japan","Mie Ken, Suzuka Shi","Hachinocho","[""513-0837""]"
"Japan","Osaka Fu, Habikino Shi","Suichoen","[""583-0855""]"
"Peru","Loreto, Ucayali, Vargas Guerra","Puerto Alegre","[""16450""]"
"Japan","Chiba Ken, Katori Shi","Niidera","[""287-0051""]"
"Algeria","Setif","Ferme Maneche","[""19002""]"
"Japan","Saitama Ken, Sakado Shi","Tomiya","[""350-0208""]"
"Nigeria","Abia, Obi Ngwa, Mgboko","Umuwezi","[""453101""]"
"Mexico","Tamaulipas","Santa Cruz","[""87315"",""87370"",""87830"",""88650""]"
"Spain","Cantabria","Quintanilla De An","[""39250""]"
"United States","California, Merced","Dos Palos","[""93620""]"
"Ukraine","Dnipropetrovsk Oblast, Mahdalynivskyi","Yevdokiivka","[""51161""]"
"Spain","Canarias, Las Palmas","Aguimes","[""35260""]"
"Ecuador","Azuay, Gualaceo","Jadan","[""010353""]"
"Mexico","Oaxaca","Lomas De Monte Alban","[""71233""]"
"Poland","Mazovia, Powiat Ostrowski","Trynisze-Moszewo","[""07-325""]"
"Latvia","Ventspils","Sila Iela","[""LV""]"
"Japan","Hokkaido, Otaru Shi","Shiomidai","[""047-8555"",""047-0002""]"
"Maldives","Medhu, Dhaalu","MeedhuffushiVilu Reef Resort","[""13100""]"
"Turkey","Mardin, Derik","Alagoz","[""47800""]"
"Nigeria","Edo, Owan East, Otuo","Ugba","[""313107""]"
"Ukraine","Lviv Oblast, Pustomytivskyi","Novosilka","[""81164""]"
"Argentina","Tucuman","San Francisco","[""4162""]"
"Algeria","Bechar","Hai El Inara","[""08013""]"
"India","Uttar Pradesh, Bahraich","Ailo","[""271871""]"
"Indonesia","North Sulawesi, Kepulauan Sangihe","Tahuna","[""95811"",""95812"",""95813"",""95814"",""95815"",""95816"",""95817"",""95818"",""95851""]"
"Nigeria","Kaduna, Sanga, Mayir","Hayen Gada","[""801119""]"
"Mexico","Chiapas","Nuevo Amanecer","[""29140""]"
"France","Normandie, Manche","La Lande-D'airou","[""50800""]"
"Germany","Nordrhein-Westfalen","Oerlinghausen","[""33813""]"
"Mexico","Chihuahua","Campo 14 B","[""31614""]"
"Vietnam","Tay Nguyen, Dak Lak, Ea Sup","Ea Bung","[""630000""]"
"Slovakia","Kosicky Kraj","Olsavka","[""053 61""]"
"Germany","Sachsen-Anhalt","Grimme","[""39264""]"
"Mexico","Campeche","Miami","[""24115""]"
"Belarus","Vitebsk Province, Haradok District, Stodolischenskiy Council","Lapushnica","[""211573""]"
"India","Odisha, Koraput","Koraput H.o","[""764020""]"
"France","Nouvelle-Aquitaine, Charente","Villiers-Le-Roux","[""16240""]"
"Italy","Friuli-Venezia Giulia, Udine","Venzone","[""33010""]"
"Poland","Lodz Voivodeship, Powiat Tomaszowski","Olszowa","[""97-225""]"
"Japan","Aomori Ken, Hirosaki Shi","Fujisawa","[""036-1512""]"
"Mexico","Hidalgo","Del Can","[""43943""]"
"Turkey","Bartin","Sarayli","[""74110""]"
"France","Bourgogne-Franche-Comte, Haute-Saone","Les Aynans","[""70200""]"
"China","Beijing, Mentougou District","Huangta Township","[""102311""]"
"Spain","Madrid","Vallejos, Los","[""28380""]"
"Turkey","Konya, Derebucak","Gencek","[""42482""]"
"United Kingdom","England, Greater Manchester","Flixton","[""M41""]"
"Japan","Hyogo Ken, Tambasasayama Shi","Ikegami","[""669-2436""]"
"United States","Missouri, St. Francois","Knob Lick","[""63651""]"
"Ukraine","Rivne Oblast, Zdolbunivskyi","Nova Moshchanytsia","[""35744""]"
"Vietnam","Dong Bang Song Cuu Long, Long An, Can Duoc","Long Trach","[""850000""]"
"United Kingdom","England, Hampshire","Calmore","[""SO40""]"
"China","Shandong, Fangzi District","Fangzi Prefecture","[""261200""]"
"Vietnam","Bac Trung Bo, Thanh Hoa, Dong Son","Dong Anh","[""440000""]"
"Mexico","Michoacan De Ocampo","Terravida","[""59057""]"
"Peru","Ucayali, Atalaya, Raymondi","Alto Cocani","[""25200""]"
"Japan","Aichi Ken, Nagoya Shi","Kurosawadai","[""458-0003""]"
"Russian Federation","Permskiy Kray","Levino","[""617085""]"
"Colombia","Cundinamarca, Lenguazaque","El Rhur","[""250608""]"
"China","Yunnan, Yuanmou County","Julin Township","[""651309""]"
"Cambodia","Kratie, Preaek Prasab","Prey Kur","[""10255""]"
"United States","Massachusetts, Bristol","Westport","[""02790""]"
"Russian Federation","Moskva","Moskva 396","[""111396""]"
"India","Madhya Pradesh, Umaria","Bilaspur","[""484660""]"
"Poland","Warmia-Masuria, Powiat Olsztynski","Cerkiewnik","[""11-040""]"
"Japan","Akita Ken, Daisen Shi","Nangai Agetsuchi","[""019-1835""]"
"Mexico","Chihuahua","Cerro Zacatoso","[""33486""]"
"Nigeria","Kwara, Baruten, Yashi Kera","Gudin Kparu","[""242102""]"
"Japan","Saitama Ken, Iruma Gun","Asuwa","[""350-0455""]"
"United States","Michigan, Charlevoix","Boyne City","[""49712""]"
"France","Auvergne-Rhone-Alpes, Isere","Four","[""38080""]"
"Romania","Teleorman","Poroschia","[""147280""]"
"Belarus","Gomel Province, Loyew District, Byvalkovskiy Council","Gorodok","[""247112""]"
"Nigeria","Kaduna, Sanga, Ayu","Regga Makaranta","[""801107""]"
"Japan","Tottori Ken, Sakaiminato Shi","Hanamachi","[""684-0016""]"
"Poland","Greater Poland, Powiat Poznanski","Suchy Las","[""62-002""]"
"India","Punjab, Patiala","Marru","[""140702""]"
"Russian Federation","Saratovskaya Oblast","Mechetnoe","[""413223""]"
"Japan","Chiba Ken, Funabashi Shi","Shiomicho","[""273-0016""]"
"Mexico","Tamaulipas","Canon De La Peregrina","[""87016""]"
"France","Grand Est, Haut-Rhin","Friesen","[""68580""]"
"Mexico","Guanajuato","La Mesa Alta","[""37919""]"
"Nigeria","Ebonyi, Ishielu, Emuhu-Ali","Ameta","[""481120""]"
"Croatia","Varazdinska","Gornja Poljana","[""42223""]"
"Russian Federation","Moskva","Moskva-Yaroslavskiy Vokzal Pzhdp Tseh 3","[""102103""]"
"United States","Georgia, Colquitt","Norman Park","[""31771""]"
"Vietnam","Nam Trung Bo, Binh Dinh, Tay Son","Binh Nghi","[""590000""]"
"Afghanistan","Nangarhar, Bati Kot","Artona","[""2667""]"
"Algeria","Boumerdes","Trik El Khendek","[""35004""]"
"Brazil","Rio Grande Do Sul","Bom Jesus","[""95290-000""]"
"Japan","Niigata Ken, Nagaoka Shi","Nakajima","[""940-0094""]"
"India","Bihar, Banka","Kairee","[""813104""]"
"Spain","Comunidad Valenciana, Valencia","Xativa","[""46800""]"
"Mexico","Coahuila De Zaragoza","Privada Ciudad Las Torres 2 Sector","[""25110""]"
"Afghanistan","Nangarhar, Bihsud","Nahr Shahi Saywom","[""2657""]"
"Japan","Tokyo To, Chiyoda Ku","Kandasudacho","[""101-0041"",""101-8533"",""101-8552"",""101-8554"",""101-8555"",""101-8558"",""101-8559"",""101-8667"",""101-8707""]"
"Pakistan","Khyber Pakhtunkhwa","Chakdara","[""18800""]"
"France","Auvergne-Rhone-Alpes, Ardeche","Saint-Romain-De-Lerps","[""07130""]"
"Russian Federation","Krasnoyarskiy Kray","Kucherovo","[""663833""]"
"Japan","Aichi Ken, Inazawa Shi","Naganocho","[""492-8141""]"
"India","Madhya Pradesh, Mandsaur","Dalauda Rail","[""458667""]"
"Mexico","Michoacan De Ocampo","La Chivera","[""60476""]"
"Vietnam","Tay Nguyen, Gia Lai, Krong Pa","Uar","[""600000""]"
"Hungary","Veszprem","Harskut","[""8442""]"
"Colombia","Cauca, Sotara","Las Yescas","[""193507""]"
"France","Normandie, Orne","Saint-Jouin-De-Blavou","[""61360""]"
"Romania","Bacau","Stefan Cel Mare","[""607605""]"
"Germany","Schleswig-Holstein","Hohenaspe","[""25582""]"
"Japan","Hyogo Ken, Kato Shi","Kaihara","[""673-1453""]"
"Argentina","Buenos Aires","Barrio Centenario","[""1884""]"
"Argentina","Buenos Aires","Mar Del Plata Estafeta No.1","[""7600""]"
"Australia","Queensland, Gold Coast","Currumbin Valley","[""4223""]"
"Lithuania","Kaunas County","Armanavos K.","[""59055""]"
"Lithuania","Kaunas County","Kujagalviu K.","[""53056""]"
"Lithuania","Kaunas County","Pavarnio K.","[""60040""]"
"Lithuania","Kaunas County","Sb ÂLelijaâ","[""54078""]"
"New Zealand",,"Ouruhia","[""8083""]"
"Mexico","Nayarit","La Curva","[""63535"",""63795""]"
"Spain","Cataluna, Barcelona","Cabrils","[""08348""]"
"Venezuela","Nueva Esparta","La Vecindad","[""6309""]"
"Sri Lanka","Western Province","Siyambalape","[""11607""]"
"Ukraine","Zaporizhia Oblast, Vilnianskyi","Novovasylivske","[""70042""]"
"Turkey","Mardin, Omerli","Ikipinar","[""47570""]"
"Mexico","Oaxaca","El Molinito","[""68235""]"
"Colombia","Meta, Acacias","Sardinata","[""507001""]"
"Russian Federation","Kabardino-Balkarskaya Respublika","Oktyabrskoe","[""361101""]"
"Nigeria","Niger, Agwara, Shagunu","Garu-Anara","[""923107""]"
"India","Uttar Pradesh, Bagpat, Baraut","Sarurpur Kalan","[""250619""]"
"Ukraine","Volyn Oblast, Turiiskyi","Klevetsk","[""44822""]"
"Japan","Okinawa Ken, Naha Shi","Akebono","[""900-0002""]"
"Mexico","Jalisco","Lomas Del Refugio","[""45186""]"
"Peru","Ancash, Bolognesi, Aquia","Pachi","[""02420""]"
"Latvia","Rezeknes Novads, Berzgales Pagasts","Kaspari","[""LV""]"
"India","Chattisgarh, Janjgir-Champa, Janjgir","Banari","[""495668""]"
"Afghanistan","Badghis, Murghab","Hotaki Hai Ghola Ghai","[""3352""]"
"Nigeria","Cross River, Bakassi, Ikot Edem Odo","Ikut Nkok Anie","[""541105""]"
"Mexico","Sonora","Tepahui Uno","[""85249""]"
"France","Nouvelle-Aquitaine, Dordogne","Saint-Germain-Et-Mons","[""24520""]"
"Venezuela","Zulia","MaracaiboBarrio Las Cabrias","[""4005""]"
"Germany","Mecklenburg-Vorpommern","Neuendorf B","[""17391""]"
"Japan","Tottori Ken, Tottori Shi","Genta","[""680-1133""]"
"Russian Federation","Kurganskaya Oblast","Pepelino","[""641474""]"
"Japan","Mie Ken, Kumano Shi","Kiwacho Kogurusu","[""519-5414""]"
"India","Uttar Pradesh, Aligarh","Barotha","[""202125""]"
"Hungary","Bacs-Kiskun","Tass","[""6098""]"
"Japan","Chiba Ken, Oamishirasato Shi","Nagata","[""299-3233""]"
"India","Nagaland, Tuensang","Chingmei","[""798612""]"
"Japan","Kagoshima Ken, Makurazaki Shi","Higashihommachi","[""898-0014""]"
"Mexico","Guanajuato","Gaytan Del Refugio","[""38755""]"
"Mexico","Guanajuato","La Caja","[""36494"",""36805""]"
"Afghanistan","Sar-E Pol","Arabya","[""2101""]"
"Colombia","Cauca, Mercaderes","Mercaderes","[""195069""]"
"Poland","Greater Poland, Powiat Ostrowski","Maczniki","[""63-460""]"
"Italy","Marche, Fermo","Santa Vittoria In Matenano","[""63854""]"
"Mexico","Michoacan De Ocampo","Real Mil Cumbres","[""58270""]"
"Mexico","Guerrero","Tuxtepec","[""41613""]"
"France","Occitanie, Gard","Collorgues","[""30190""]"
"Hungary","Gyor-Moson-Sopron","Rabapatona","[""9142""]"
"Australia","South Australia","Sandy Grove","[""5275""]"
"Japan","Shimane Ken, Ochi Gun","Mimata","[""696-1223""]"
"Japan","Aichi Ken, Inazawa Shi","Maeda","[""492-8220""]"
"Estonia","Vorumaa, Antsla","Kikkaoja","[""66302""]"
"Argentina","Neuquen","Cerro Colorado","[""8347""]"
"Colombia","Caldas, Manizales","Comuna 11","[""170006""]"
"Poland","Warmia-Masuria, Powiat Goldapski","Kolkowo","[""19-500""]"
"Mexico","Chihuahua","Mesa Del Ocote","[""33188""]"
"Germany","Mecklenburg-Vorpommern","Schwerinsburg","[""17398""]"
"Japan","Kochi Ken, Agawa Gun","Nakamura","[""781-1516""]"
"Latvia","Gulbenes Novads, Lejasciema Pagasts","Sinole","[""LV""]"
